id,puzzle,solution,clues,difficulty
458,....7...9..63..2511.2.......259..6.3.7...............4....62.......8.5...63.1....,358271469746398251192654378825947613471836925639125784984562137217483596563719842,23,1.8
459,.1.........58..1..48...15.2...1....9..123.7...6.48....7.......1.52...9.4..4.9..7.,316925847925874163487361592873156429541239786269487315798643251652718934134592678,27,3.8
460,....4...5..4..89..32..16.....2...7.....9....64....5...1....4...2......3..5..8.64.,687249315514738962329516874892463751735921486461875293176394528248657139953182647,23,3.2
461,.9......8..6..29..271..3..54..8...............8.26.49.9.4.26...3.7.9.....6....5..,593614278846752931271983645412839756639475812785261493954126387327598164168347529,26,0.0
462,..85.7.6.1..6...8.9.6.....7..............3..92...1.43..7...9..4.....567..3...15..,328547961147692385956138247783954126461283759295716438572369814819425673634871592,25,0.0
463,.........9.....5.8714..6...49.....7....6.2..4..1..39..2..4.........2...61.95...8.,528934761963271548714856239492185673375692814681743925256418397847329156139567482,24,0.0
464,..8......35...8...4..6...9.8.5.......91..26....3.712....6.1..2.......78....24...6,168794532359128467472653891825436179791582643643971258536817924214369785987245316,25,0.0
465,..49.6.....1....429...8.3..14.....7...86...2....35......25...8.....7....4.6....5.,734926815681735942925184367143298576598647123267351498312569784859472631476813259,24,0.0
466,.1..93.2...3....8..9451.6...26.5..9.8...3...43...61...9............2...3...1.95..,718693425563274189294518637426857391851932764379461852947385216185726943632149578,27,1.7
467,..37.5...7...2.......9...1.8..6...4.37......65.......3..62.4.........1.5..2.5.6..,293715468718426359645938712829673541371542896564891273156284937487369125932157684,23,0.0
468,.2893.4............9.6....8...76.31...74....5..9..5..2..2..6...4.3.8.1........7..,528931467736548291194672538285769314617423985349815672972156843463287159851394726,25,2.7
469,.....5.8.5..34.1....9.1........3...1..27..9...3....7.4..6..4.3.97............15..,741295386568347192329816475697432851412758963835169724156984237974523618283671549,23,0.0
470,.9..765.....5...79..6..4....3...8....8.41....24....9........23....183...8......5.,391876542428531679756294813139728465685419327247365981914657238562183794873942156,24,0.0
471,1.2.....9.7...6....54.7..8.......9.7...43......8..5.4....18.........725.4..9.....,162843579879516432354279681543628917796431825218795346625184793981367254437952168,23,1.6
472,.183.9......6......37.....2.5.96...3...7...5....2.396.7.....5.....5....13....6.8.,518329647249617835637845192852964713963781254174253968791438526486592371325176489,25,1.7
473,...6..42..6.2..7.......9..6...9...84..1.2.....7.1.6....4....21...7..5..89..7.....,793658421865241793124379856652937184381524679479186532546893217237415968918762345,24,3.6
474,2..5......5...4.2...93....4.6.4.9...7..1...951....7.........4.3......27....7..5.6,234578961657914328819362754568429137742136895193857642976285413385641279421793586,24,3.5
475,4.3....7.....8...4...2......36....1.......69.5...98........5..8.1..73.....54..3..,483569271269187534157234986936742815748351692521698743374925168612873459895416327,22,3.0
476,..4.638.7..6..2.5............5......1..2...4......8.3.5....1.6.....34.28..9.5...4,924563817876192453351487692765349281183275946492618735548721369617934528239856174,24,0.0
477,.1...53.6....3.7..9..6......36....8....7...2..9....1.3.....6..74.7.1.5.9.6..4.8..,814275396652139748973684251736521984148793625295468173329856417487312569561947832,26,2.0
478,.4......7.3.9..6.8...3.8.1....86..4..6....92....4.......9..7.....7.....35.6.2....,148256397732914658695378214953862741864731925271495836319647582427589163586123479,23,0.0
479,48.....1.....5.2.....89....7....26....54....99.1.......2.7.......3....56....8.7..,489627513617354298352891467738912645265438179941576382824765931173249856596183724,22,0.0
480,........3.5...9.242.91.....4..51.9...7.4.........78.5......2.....8.5....9267...8.,764825193851369724239147865482516937675493218193278456517682349348951672926734581,25,3.1
481,7..8..645..5...3.....6...1....34.1.2.....2.54..9..........68.3.372......4.....5..,793821645615974328824653719587349162136782954249516873951468237372195486468237591,25,2.3
482,...39..5....5..1.....78.6.9.3..6.27..1...98..68....3..5.......8.64..75...........,846391752397526184251784639439168275715239846682475391573642918964817523128953467,25,2.1
483,..5.....8...9..12..72.........3..7.141.....6.6.9.8....8....4..9...1...5.2.....4..,165432978384967125972815634528346791417529863639781542856274319743198256291653487,23,0.0
484,.59...........1..2...2..5.4....8.3...4....8...6.3...25.8.56.4.......7.8..34.....9,259746138473851692816293574927685341345912867168374925782569413591437286634128759,24,2.2
485,7....8.....8.5...6.6.....3..4..8.6....5.9.7.......5..2..9.....46..47.25..1.5...6.,734628519198753426562914837341287695825196743976345182259861374683479251417532968,25,2.2
486,....4...6.78...4.9....271.8.1...6..7..91......2..3..6.5....8.2.....7.....9.......,153849276278613459946527138314296587769185342825734961531968724482371695697452813,23,3.0
487,.2.4..58..............13.......9...5..6....1.1..5...4997....8...4.72........8.32.,329476581718259463465813972284197635596342718137568249972631854843725196651984327,23,1.0
488,....23187.8.......5...4...3.5.....78.14....9.......4...4........2..16..49.1.8..3.,496523187183697245572841963259164378714238596638759421845372619327916854961485732,25,0.0
489,.97.5.2........8.7..3..2..45...1.......7.....1.2.8..9..1.3....8.2...6..9..4..8...,897451236241963857653872914576219483489735162132684795915327648328146579764598321,24,3.3
490,.375..2.1.....75....9.....7.4...6.......9........2.8.3.9..32.8.5......1....61.7..,837549261124367598659281437348156972275893146916724853791432685562978314483615729,24,3.3
491,...76...34...9..6........4.1.32.....2....6......8.3.9..74...9...1...8..46.....27.,859764123421395768736182549193247856248956317567813492374621985912578634685439271,24,0.0
492,....214..6..7.........8.5.........2.7.62.3..81.3.....78...4...1....5..9...7..6...,578621439694735812312489576985174623746293158123568947859342761261857394437916285,23,3.4
493,5........2...9..4....47.2...5.8....31.93...8578.....9.......45...6..3.7..1.......,547238916238691547961475238654819723129347685783562194372986451496153872815724369,24,0.0
494,..1..9....6..5.....2.36.8...4...1.......8..1.....4..6.2..67.9....52...73..8.....2,731829546869154237524367891946531728352786419187942365213675984495218673678493152,24,0.0
495,..2.7....4..9....8..32.5..932..97.4...5....1......6...1....9...7...3......41.....,592871364417963528863245179321597846675482913948316752186729435759634281234158697,23,0.0
496,...6.7..8.6..957....2.....3...542.3.......1..458.1......9..........7.24.6..9.....,531627498864395712792481563916542837273869154458713926149238675385176249627954381,24,2.0
497,..9....6..16......72.35......1....8.2....84.3.74.6.......2....5...4....6....1.34.,359841762416792538728356914931524687265178493874963251643289175197435826582617349,24,0.0
498,....192..97...2.5...68...7.6......9.29.5......1....5..8.....46.75......8..2.8...7,583719246974362851126854379645128793298537614317496582839271465751643928462985137,26,2.2
499,...4157..2.........5..87.4.3..9..4..4.8.....1..6...3.79..5.3...784....2..........,869415732247369815153287946371952468498736251526148397912573684784691523635824179,25,0.0
500,.2.79...5.3......8..9.....44...6......3..72.....3.1.4...1.5.....5.6....3.7.2..5..,124798365735426198689135724497562831813947256562381947941853672258679413376214589,24,2.4
501,.1.6.7....2....4....6......3.28......6..3..9.94...5.6.......3.5....9......3.5.84.,815647932729513486436928751352869174167432598948175263294786315581394627673251849,23,0.0
502,7.49....5..2.71.3.1........4......5........79.8..953.....3..647...4.6.1.8........,764932185952871436138654792493768251615243879287195364521389647379426518846517923,25,1.2
503,....2..1..1..9..866.....9..1.2...4.5.......7348.........1.3.5.996..8.....35..6...,359628714217594386648371952172863495596142873483759621821437569964285137735916248,26,0.0
504,..2..84.1...261...6.........7.....1.8......95...7.....42.....3..1.....527.3.5....,592378461347261589681549273279685314836124795154793826425816937918437652763952148,23,0.0
505,.6..8....9.43...2.3...79.....8...35..4...8..77....5..12.....41...5..1....7..9....,167582934984316725352479186618947352543128697729635841296753418435861279871294563,25,2.0
506,6...9..1.4.......535...6..29..6.4........25...83...1.............1237.4...2....9.,628593417419728635357146982975614328146382579283975164734869251591237846862451793,24,0.0
507,.7..6.3....15......3...8..23...245.9784.....35...1...............8..217..4...1...,875269341421537896639148752316724589784695213592813467153476928968352174247981635,25,0.0
508,...9.3..5......2.3.4..1..8...4..63...5........17.2...4.....46......9..2.8.93..1..,182963475596748213743215986924876351658431792317529864275184639431697528869352147,24,1.3
509,..9...8.41..3.....6....9....5...4.6...4...7...8.7.53......6..2.....5...9.7..1..3.,539621874127348695648579213753184962914236758286795341491863527362457189875912436,23,3.7
510,.98...7.1..5....3..74.3.8..567.4...........95..36.....1..9....4....7........6.1..,398456721215897436674132859567249318421783695983615247136928574842571963759364182,24,1.1
511,.....7861..76..3....2....9..61..853..9..2.6...38.9.......54...31.3...............,349257861857619342612834795261478539794325618538196427976541283183762954425983176,25,0.0
512,1....7....98..2.7.7...6.91....5.....2.5.4...3....8.5.6..41....86.3.....9.8...5...,146957382398412675752368914869523147275641893431789526524196738613874259987235461,26,1.5
513,2..3.18...3.6....7.5..92...6....9....42............2.53....4.69..9....3...6.2....,267351894931648527854792613685279341742135986193486275328514769519867432476923158,24,0.0
514,2.4.7..5..56......8...1.4........183.....92....723......2.....1.9.75.....8.....7.,214876359956324718873915426429567183538149267167238945742683591691752834385491672,24,0.0
515,85.....4.3.1..4.5.......1.89.....831.....5....7.9....2.4.3.9......5.....6...18...,857192346361874259294653178925467831186235794473981562548329617712546983639718425,24,2.6
516,........24.1..6.....8..5....5..7..9....8..37...6..4...1...4.5..9..1...38......6..,579413862421786953638925417853671294214859376796234185167348529945162738382597641,22,3.0
517,..9..12.....3...1.3...7.....4..29.6.........3.15.......5..97...97..6..8...6....5.,569481237427356918381972645743829561298615473615734892854197326972563184136248759,23,0.0
518,3....2....26....3..9...6.7..4...8..2..9......7..9.164....6.4....1....5.8...3..7..,387192456126547839594836271641758392259463187738921645875614923413279568962385714,24,0.0
519,.....83..51.64..2..6..........78.2.9..7......2....1..365.....9.7.......4.3.5..71.,472198365513647928968235147146783259397452681285961473651374892729816534834529716,25,0.0
520,...45....8.........1..7.4.8......8..6...2....251..97........52.5.....943..3..4..1,367458219842961375915372468479136852638725194251849736194683527586217943723594681,24,0.0
521,5....1..7.4....5....1.6.2.36..1.5....7..2.9....34.....9....6.4.85.............72.,536281497248973516791564283629135874475628931183497652912756348857342169364819725,24,1.3
522,.3..4..9.......7..56.8.2...8..4..3..3...69...27...35.......76...4..2............1,132746895489351726567892134896475312315269487274183569923517648741628953658934271,23,0.0
523,2.5....131....9....6...4...4..1..29......7..4...4.3....1.....6...65....7.7..6..5.,295876413143259678768314925437185296821697534659423781512748369986532147374961852,24,1.0
524,..6..4....7....9.5.1...8.3.......4..5..6.3.898...1...3..94..1..4.....3......9..5.,256934871378162945914578236693785412521643789847219563739456128465821397182397654,24,0.0
525,...3...4.9.....1...8..72..........645.6....8...25.7....9.6.8.......9.6...7...3..9,261359748957846132384172956739281564516934287842567391193628475428795613675413829,23,2.8
526,4..2....1.2...8.......7...3.72.9.1..5..6..4.....8...9.6..48......9..........3.852,437265981921348576865179243372594168598613427146827395653482719289751634714936852,24,1.9
527,852..4.3........4....8..7....4..62..1...5.3..2..3..8.6.6.......37..621..9........,852794631713625948649813725534986217186257394297341856468139572375462189921578463,25,1.6
528,.2...6..8..7.3...2...........6.43.1..1.....34..4.6...959.6...8..4...91.32.....5..,125796348467138952839425761786943215912857634354261879593612487648579123271384596,26,1.0
529,..3...6....658..1..9..3.....5..968.......5..292..1....3......9...5....8.....6.3.7,583421679276589413194637528457296831631875942928314765362758194715943286849162357,24,0.0
530,..1.......4.9..8.....25..7.63..4.1....4............5.61.2.3....8...123......6.7..,971384265245976813386251479639745182514628937728193546192437658867512394453869721,23,2.8
531,.48..............72.5..38....17..5.8.52....1....9..6...........8.729....6..1...4.,148579326396821457275463891961742538752386914483915672514637289837294165629158743,23,0.0
532,5...........197.....962....9.........4..3.1.2..2..465.........5.18.6..4......2.7.,521348769683197524479625381967251438845736192132984657296473815718569243354812976,23,2.5
533,......1..1....7.9572..538......6......3....7...73.1....91..57..3..6.......8...2.6,435896127186427395729153864814762953263589471957341682691235748342678519578914236,25,2.4
534,...5..7....1.329..4..8...6..2.......6...982.........14..57.132.8.4...............,396514782781632945452879163128457639643198257579263814965741328834926571217385496,23,0.0
535,.25.3.6..6.....2.71..9...4..8.4....2........8...8.......9..1..4..36..9......7.1..,925734681634185297178962543381496752496257318257813469569321874713648925842579136,23,0.0
536,.....1...71..4.......356...2.3....7....4..21.9...258..4.7..3.8...86...5.6.....7..,364871592715942638892356147283169475576438219941725863457213986128697354639584721,26,1.4
537,....5.6......6...14....72..61....5.3...2.9....28....4.57.9.14.....6....2.9...4...,937152684852463971461897235619748523745239816328516749573921468184675392296384157,25,2.4
538,....7..2.67.954.3...5.....9.8......17.....6.....46..9....7...5331...5..4..4..6...,498173526672954138135682479986537241743219685521468397269741853317825964854396712,26,0.0
539,.1.......4.....7....92.6..813....5.....58..3...8..7..2...743.6.68.....4....6.....,815374926426895713379216458134962587792581634568437192251743869687129345943658271,24,2.6
540,87...3.9..6.....15......86...1.5..2..3..86.....6......9......8....594..3......4..,875613294269478315143925867481359726532786941796241538954137682628594173317862459,23,0.0
541,.2..5....6..1.8.5.......8.6..8...74...1..7.834...2...1.4.3.5........9.....34...1.,824956137679138452315274896238691745961547283457823961142385679586719324793462518,25,3.2
542,..37....16.....4.5.5....82.3...2...6.29.5..8.81.....7.1.......8....3.2......81...,283745961697218435451369827345827196729156384816493572134972658578634219962581743,25,0.0
543,.....79.8..1...54..7.6....2.......2....261.....5...3.41..4.2...7...5..8.8.4......,342517968691823547578694132917345826483261759265978314139482675726159483854736291,24,2.1
544,..2.6...16.8.9..5...3...8.773.2...9.5.......8..945.7......4.61.............5....3,472865931618397254953124867734286195526971348189453726395748612841632579267519483,25,0.0
545,..1.2.37.........9.327..1....7.......46..8.9....4.......85.....5...7.2...1.3.4..8,681925374754183629932746185897651432146238597325497816478512963563879241219364758,24,0.0
546,.9.7.4...........5.7..56..9...1..652.82..91...6.....7...7.2..3....5.1...8........,295714386436892715178356429749183652582679143361245978617928534924531867853467291,24,0.0
547,2.1.....7..8.6..5...4...6..7..8.9...4.....3.6...2......3.5.8..........2....17...9,261385947398467251574912683756839412482751396913246578139528764847693125625174839,22,2.5
548,6.........3.7...92.....3.4..81.5.2....92..3.1..7....5........7.8........1..4.8.36,698542713534716892712893645381954267459267381267381459943625178876139524125478936,24,0.0
549,1.....5.2..3....81.6....7...49362.....24.....85..........5....3......91.2..1.9...,197834562523697481468215739749362158312458697856971324971586243684723915235149876,24,3.8
550,..8..217...23.........1.6...8....93.12.4......5.13.8......46..9........85..9...1.,498562173612379485375814692784625931123498567956137824831246759269751348547983216,25,0.0
551,.8...25...72....8.9....1.....317...2.....369....6....1....9..5....8..467...3.....,481762539572934186936581724653179842817243695294658371168497253329815467745326918,24,1.9
552,7.3......9.467.........5...3.6.17.4........2.....4.........6.15.928...6......28.9,783124596954673182261985374326517948845369721179248653438796215592831467617452839,24,3.5
553,..84..5.....6.1....7.....921.....8....7.391.5....54....63..5.7.8..............2.3,938472516524691387671583492159726834247839165386154729463215978892347651715968243,24,2.2
554,..2......6.....9.1.4...25...3.28....18..7.....9.5.1.3..5....1.8...7.8.463........,512937684673845921849612573736289415185473269294561837457326198921758346368194752,25,1.0
555,.14.....9328........6.48....7...5..8..5.3..17....9.34......7.36.......9....2..1..,714352689328679451956148723173425968495836217862791345241987536637514892589263174,25,2.9
556,.6.8...2.5..79..8...9.4.5..........34...2.691.7...3......6.4..2.2...8...1.7...3..,764835129532791486819246537251469873483527691976183245398614752625378914147952368,26,1.8
557,.5..67.13......2.....3.14..14.........5.1.62....98.....7........23......96.4....1,254867913316549278789321465147256389895713624632984157471635892523198746968472531,24,1.0
558,..1.5.74.8...2.....5.6.78..6.85..2...3..9...8.7..82.1..952..1.............6....24,921853746867429351354617892618574239532196478479382615795248163243961587186735924,28,3.1
559,.4......51....5.482....8.....4.......3...7..19.....57.79..43..6..2.51........67..,348679215167325948259418637574132869836597421921864573795243186682751394413986752,25,1.3
560,8..2.....3..6..478.6....3...97......2.4.9.......5.7......3..18....4..5....3.257..,871234965352619478469758321597162834214893657638547219945376182726481593183925746,25,0.0
561,.1.2..8...4...5.6.7..6.3......4.9..3.3.71...49.....6....6..4.5.......3...29......,615247839843195267792683145561429783238716594974538621186374952457962318329851476,24,2.4
562,3..28....1....69.2.4...53...9..5....8..1.973.....43.9.5.....2..........1.2..1.8..,369281457175436982248975316493657128856129734712843695531768249684392571927514863,26,0.0
563,..7.2....4..3.17.......83.....9.6.4..2...5.7.1....36....219......8......539......,367429851485361792291758364873916245926845173154273689642197538718534926539682417,24,0.0
564,....69..7..4.........8.1..256.9...7...31...85.1...32...7........415....39......2.,185269437624735918739841562562984371493127685817653249378492156241576893956318724,25,3.7
565,..6.41....9162............5...3...4.12...537..6..7........93....37..8.5.9.....4..,386541927591627834472839615759316248124985376863274591645193782237468159918752463,25,1.5
566,.2...43.....1.....5.1......85......4..78..5.3...67.....4.....79..2.....6.6.2..1..,629584317473129658581736492856913724917842563234675981145368279792451836368297145,23,0.0
567,....1.7...7.....8..395....2..7.2.54.1..7.6...4.....2.1...8.......6..3.95....92...,842619753571234689639587412987321546125746938463958271394865127216473895758192364,25,0.0
568,78....3..56...49..43......861...8......25...4....9..6....93.75.............5....6,782619345561384972439725618613478529978256134254193867846932751125867493397541286,24,0.0
569,6.7....144...19.5.2..5..7......42..8.2.....4.1....6.....93..6.......78..........2,657283914438719256291564783975142368326875149184936527849321675562497831713658492,24,1.0
570,..9.7......7..945.4...5.........19..8.1.........23..7.2.6..5.......9.5...5.4....3,529674381167389452483152697372541968841967235695238174236715849714893526958426713,23,1.3
571,..5..81......3...9.349..5......9..87.....6...4.8.52.....1......8.......3.7.4..9..,925678134186534729734921568562193487397846251418752396241369875859217643673485912,23,2.8
572,1..9.5..28.....7....2......3...8.46.........1..47..5.8.3.....1....26........47.9.,143975682859612743672834159325189467786453921914726538437598216598261374261347895,23,3.3
573,...6.7..8....4....5....14....3....8.9.5..6..22.8...97.......1..4...1..53.3..58.4.,314697528689245731527381469173529684945876312268134975852463197496712853731958246,26,0.0
574,..6.89..1......5873..2......1......5..7...8.92....67......95.....9.....41.4...3..,546789231921364587378251946813927465467513829295846713632495178789132654154678392,24,1.2
575,.7......51.3..8..7..6...3....74...8........3..3..265..9....41....2.7.....6...59..,479632815123598467586147392697453281245981736831726549958264173312879654764315928,24,2.5
576,..4.6..9....5.2.1.6........1..3...5....429.....8...9...2.......9...8.472.61...3..,214863795739542816685791243192378654576429138348615927827934561953186472461257389,24,3.3
577,...6...288....19....357......8.1......7....6.3......1.136.....5......1.25.4....9.,471639528865241973293578641648317259917825364352964817136792485789456132524183796,24,0.0
578,..3..1.7...463.9.2.1....8....935.7......69...38..1...............8.9.5.37...2..6.,293481675874635912516972834629358741147269358385714296932546187468197523751823469,26,3.2
579,5.2...3.9.4.3.9.1....1..4.51...68....5.......6.4.9.2..29.7..1...............83...,512874369746359812983126475129468753857231694634597281298745136375612948461983527,25,1.5
580,3...91...2....51.49.......6....3..5....1.2......76...1..3.....95....4.8...2...5..,348691725267385194951247836179438652634152978825769341783526419516974283492813567,23,1.4
581,43.76....2.......4.8......6....1.....4.9.5..8..3......1.628.7.......741..2..9..8.,439762851261538974587149326875413269642975138913826547156284793398657412724391685,25,0.0
582,..2.....84.............72353.....7......859......9..6.7.3.4....9.......1.243.....,652931478437528196819467235398614752246785913571293864783146529965872341124359687,22,1.5
583,...9.7.514.......6....3..7..72..684....712.....5.......8.4...3.5...7..........96.,623987451497125386851634279172596843348712695965348712289461537536879124714253968,24,0.0
584,...8........7.214.9...54..769....5..7.2..16.85.......28.9........7.4..69....1....,471863925385792146926154387698427531742531698513689472859376214137245869264918753,26,1.9
585,7..6..5...3.27.9...8...42.1..3.8....549..........91........28........4..6....31.9,724619583135278946986534271213785694549326718867491325451962837398157462672843159,25,0.0
586,........1..13.25..6.4..9..7.3..........4.8..25..9...3..17.8.4.34.3........86...1.,325874691791362548684159327839526174176438952542917836917285463463791285258643719,26,0.0
587,7.........327..5....96.3..1..35.7.6....4.6.3.24..9.................6..986..2...7.,765812349132749586489653721813527964957486132246391857528974613374165298691238475,25,1.0
588,..832....2..69..5..9.4..6.89...4...5.6....4...27..........1.8.......5.3....8....7,658327914214698753793451628981742365365189472427536189579213846846975231132864597,24,2.9
589,...35..4..497.6...1.....7.......9.....2.6.5..8..4..19..3.8...15..453..89.....4...,728351946349726851156948723571289364492163578863475192637892415214537689985614237,27,0.0
590,....4....7..62.........34...5.3...6..31..5.....4.9.8.....5..6.3.8......2.9...4.7.,513847296749621358268953417952378164831465729674192835427519683185736942396284571,23,1.8
591,7...9...4....6....165..3...4......5863.........8..421.8.31.........5..7...7....2.,782591634394267185165483792429716358631825947578934216853172469246359871917648523,24,0.0
592,..74..6............1.2.7.8..3.8.154..4.6....3..9......4....9.51..6..82.....3..8..,987415632253986417614237985732891546845672193169543728428769351396158274571324869,25,1.2
593,.....49..3...78...9..5..21..7....5....5....3...8.....2.1.8....94...9....7..31.4..,856124973321978654947536218174283596295461837638759142512847369483695721769312485,24,1.4
594,....2...3..1....7.3......46..67.8....354.6..7....5.9.......9...6..5...8.7..38..59,478625193961834572352971846296718435835496217147253968583169724629547381714382659,26,0.0
595,3..6..7...48...6..7.5...4......1694....5.3.2..1..4....8......1...7...5..9...67...,392684751148375692765921483283716945674593128519842376836459217427138569951267834,25,0.0
596,..8.1.7..7.3..8........7.5..9..8..1....24...3...7.......1...6846.....59.2.4......,528416739713958246469327158392685417875241963146793825931572684687134592254869371,24,0.0
597,4...93.6......475....5...........1..7....1...56.4.......6....19.5.9....89..68.5..,425793861698124753137568924249836175783251496561479382876345219352917648914682537,24,0.0
598,5....6..9.......7..6.74...2.43.9.......4.81.....12.3..37.......452.....3...2.....,527386419934512876861749532143697258295438167786125394379854621452961783618273945,24,0.0
599,..........58...2..3......17..29...3..7..1...6.....8.4.9..1.5....4.2...5318.7.....,217496385658371294394852617862947531479513826531628749923165478746289153185734962,24,2.5
600,8........7..9.2..134....6.8.2.37..5....2..98.6.....7...3....2....46...93...5.....,812436579765982341349715628428379156573261984691854732937148265154627893286593417,25,0.0
601,...1.723...5......1.7.659...7....32..........92.75......6....8...3.....4.1.84..6.,649187235285394671137265948578416329361928457924753816496531782853672194712849563,25,0.0
602,4.....1...1.7...8...3..2.....693...1..5.6.97.....25.......5..43......89.....76...,459683127612794385783512469846937251235168974971425638168259743527341896394876512,24,1.4
603,....3..5......18...9......438...4.....5.....294..251......5.27..6.....39....48..1,821436957453971826697582314382164795715893642946725183134659278568217439279348561,25,1.9
604,3.....2....8..2.5..493........8..3......1784..8.5.6...19.......6...4..7.......9.6,315468297768192453249375681971824365536917842482536719197683524653249178824751936,24,1.9
605,.5..........26.5.44......961.7.........93...2.....18...7...6..5.9..7..8...8.2..43,756394218913268574482715396137682459845937162629451837371846925294573681568129743,25,3.1
606,2..5.6.......94.3.1...7.....45..2..8...98741............6....79.58........9...2..,284536197567194832193278654945312768632987415871465923326841579758629341419753286,24,0.0
607,9............14.826...3...1....4..5.75..2.1...4.3.....87......9.......3.....7351.,914782365537614982682539471398147256756928143241365897873451629125896734469273518,24,0.0
608,9.6..5....5.4..1......39.286...5...4.....7.3..2.......59......1.1..2.7........9..,986215347253478196471639528639152874145867239728394615592783461814926753367541982,23,0.0
609,.8...4..5...51.........3.7..52.....97.6.5..4......9....4..6.8.72...8......54..62.,683974215927518436514623978452136789796852341138749562341265897269387154875491623,25,0.0
610,..9......7...6..1..4....98...8..7......59..6....8....35.7..41...1.7..2.56..2.....,239178654785469312146325987358617429472593861961842573527984136814736295693251748,24,0.0
611,.7...23.5..6.....7.9.1......35..9.8....8.7...4...6....1..3284..3.....29..........,874692315216583947593174628635419782921837564487265139159328476348756291762941853,24,1.7
612,...6..41....3....78.2.54......1...36.9.....4.74.......5.39.1.........6....8..5...,937682415654319287812754369285147936391526748746893521523961874179438652468275193,23,0.0
613,721....8.....3.4.5..........75...1......845.7..32.....1...9....3....82...49.2.3..,721456983968732415534819726875963142296184537413275869182397654357648291649521378,25,1.7
614,....8.2....2.57..1.48....3....9..3.........7489.......91....7.....6.....67...342.,159386247362457891748291635427965318536128974891734562913542786284679153675813429,24,0.0
615,...8..7.1..2...9..68.9......9.6....5......3..51..432.....357.....6.8......1.....2,945836721132574968687912453793628145264195387518743296829357614476281539351469872,24,0.0
616,..8.7......2......6.3..4.5....79...5.6...3.......1...94.6.......9.1..7.8.8.....12,948571236152368974673924851831792465569843127724615389416287593295136748387459612,23,0.0
617,5.6..9..8.1...59......4..2..3.....6.8.5.71....41.....5.2.....1....6.3.573........,576239148412865973983147526739582461865471239241396785627958314194623857358714692,25,5.1
618,8.2..1..5.7.2...91.6....27..9.....5...84..9...4.....6.2...964....9.........5.2...,832971645574268391961354278193627854628415937745839162257196483419783526386542719,25,2.0
619,..73.9...2..7...4...8...5..3.21.......4......8...9..34...9.......3.1...861...52..,547369821261758349938241567392174685154836792876592134785923416423617958619485273,24,1.9
620,..72..6......3..5..54.9....6...7.8.42..8....9....5..7..219.........1....7.6....1.,937285641162734958854196732615379824273841569489652173521963487348517296796428315,24,1.0
621,2..3..5.......4..3..1..76..........5......36..9..852.1.6729.....4.6...8........5.,284369517976514823351827649728136495415972368693485271567298134149653782832741956,24,0.0
622,..3.....5.5..7642....2...1.3.6..7.....5.4.2...4.82.........91......6.75....4....3,283914675951376428674285319326597841895641237147823596562739184439168752718452963,25,1.8
623,.......7.4.9..76.....5..3.28..........538..6.7.4.62.......41...9..8..52..8......6,528436179439217685671598342863759214215384967794162853352641798946873521187925436,25,3.0
624,.6.1.8.....1.9..3.9...2.5.....61.4.2...........78.4..3.......18...3.7...5.9......,365178924421596837978423561853619472694732185217854693742965318186347259539281746,23,0.0
625,....4....639.....8....8.91...1...5..59....3...2......4...425..3.7...3....1...6...,182649735639157248754382916341968527596274381827531694968425173275813469413796852,23,2.4
626,.8..2...91...4..2...431..........3..........7....654...482.......9..78...7..5....,783526149195748623624319578961472385452183967837965412548291736219637854376854291,22,3.3
627,.5.2..........968....78.2....7...96..3.5.6.1.9.4............7.5....2......68.....,458261379721359684693784251517432968832596417964178523289613745145927836376845192,22,2.4
628,.2.8........15......1.4.2.3..........85...91.6.3.87........9.5.74..6...2.......3.,426893571397152846851746293974521368285634917613987425138279654749365182562418739,23,1.0
629,2...6...81....7....6.1.32.9........24.6....5..87...3..8...7254....4.......4.89...,273965418149827635568143279315694782426738951987251364891372546752416893634589127,26,0.0
630,4...9.28.5..3..4...83..41.....9....2..6.8.7...5.....96.....9.....1.72......8...1.,467591283512368479983724165178946532396285741254137896845619327631472958729853614,25,1.9
631,6.....41.9.2..7...4.3......3..82.1..87..9......1...6.....43..6.2.4.5.3..........5,657283419912647583483519726349826157876195234521374698795431862264958371138762945,25,0.0
632,26...8.4......1..98..9....79.......64..........61.35...8..9...3.......65.3...7...,269758341375461829841932657913825476458679132726143598584296713197384265632517984,23,2.0
633,6.....4.....29..3.85..1......8.6....9...4.7..7.......5....8.6..3......7...97.354.,692378451471295836853614927218567394935841762746932185527489613384156279169723548,24,0.0
634,81.9.........6.2.1......65..2.....4....38....67......94...2.9....1..4..5.6..9..3.,816952374735468291249137658928716543154389762673245189487523916391674825562891437,24,2.4
635,.1...2....8.6.3..2....59.7.2.9....4..3......8......7..62...18..3.1.4.2.9.........,913472685587613492462859371259387146736124958148965723625791834371548269894236517,24,2.6
636,...9.1......78......3.....22....8...9.8..4.3.4...6.9.5......1.....4..5...69.1..74,684921753592783641713645892256398417978154236431267985345876129127439568869512374,24,3.3
637,..........9...452.3...928....1.7...68...31....2.....4..7.......4.67....1..9....65,182357694697184523354692817941278356865431279723569148578916432436725981219843765,24,1.8
638,..1..8..5.....5..6.5....71...2.51....96.....43...2....6..2...4.984.7........6.8..,761348295239715486458692713842951637596837124317426958675289341984173562123564879,25,2.0
639,9..72.65........142...6.....9.8....3.3.5.6.........46..46..9...........1.28.3....,914723658763958214285461397692814573437596182851372469146289735379645821528137946,24,1.6
